Rang;Réseau;Station;Trafic;Correspondance_1;Correspondance_2;Correspondance_3;Correspondance_4;Correspondance_5;Ville;Arrondissement pour Paris;Coordonnées;Latitude;Longitude
77;Métro;PIGALLE;3501831;2;12;;;;Paris;18.0;48.8822982, 2.3380899;48.8822982;2.3380899
273;Métro;CARDINAL LEMOINE;1121854;10;;;;;Paris;5.0;48.8465303, 2.3518356;48.8465303;2.3518356
121;Métro;ECOLE MILITAIRE;2805976;8;;;;;Paris;7.0;48.851848399999994, 2.304756478078534;48.851848399999994;2.304756478078534
157;Métro;COMMERCE;2212666;8;;;;;Paris;15.0;48.8447112, 2.2938643;48.8447112;2.2938643
269;Métro;LIEGE;1143956;13;;;;;Paris;8.0;48.8796039, 2.3270446;48.8796039;2.3270446
78;Métro;PORTE DE SAINT-CLOUD;3485946;9;;;;;Paris;16.0;48.8377707, 2.2565741;48.8377707;2.2565741
288;Métro;RENNES;861334;12;;;;;Paris;6.0;48.848198, 2.3277771;48.848198;2.3277771
123;Métro;VICTOR HUGO;2801041;2;;;;;Paris;16.0;48.8699395, 2.2860712;48.8699395;2.2860712
162;Métro;PERNETY;2173567;13;;;;;Paris;14.0;48.8339998, 2.3181806;48.8339998;2.3181806
274;Métro;MONTGALLET;1108395;8;;;;;Paris;12.0;48.844304, 2.3901962;48.844304;2.3901962
84;Métro;CLICHY SAINT-OUEN;3420852;14;;;;;Saint-ouen;;48.9045663899011, 2.3226263683342268;48.9045663899011;2.3226263683342268
292;Métro;VANEAU;725826;10;;;;;Paris;7.0;48.8491519, 2.3218529;48.8491519;2.3218529
126;Métro;PORTE DE LA VILLETTE;2706288;7;;;;;Paris;19.0;48.8974039, 2.385591;48.8974039;2.385591
182;Métro;VILLEJUIF-LEO LAGRANGE;1952627;7;;;;;Villejuif;;48.80468812091137, 2.3639531966021656;48.80468812091137;2.3639531966021656
281;Métro;AVENUE EMILE ZOLA;1041233;10;;;;;Paris;15.0;48.8469751, 2.2953222;48.8469751;2.2953222
85;Métro;ANVERS;3420749;2;;;;;Paris;18.0;48.8828803, 2.3442565;48.8828803;2.3442565
293;Métro;KLEBER;724215;6;;;;;Paris;16.0;48.8709634, 2.2929573;48.8709634;2.2929573
128;Métro;BOULOGNE-JEAN JAURES;2700354;10;;;;;Boulogne Billancourt;;48.842005347289565, 2.238887327153073;48.842005347289565;2.238887327153073
184;Métro;SAINT-PHILIPPE-DU-ROULE;1935004;9;;;;;Paris;8.0;48.8723362, 2.3100827;48.8723362;2.3100827
285;Métro;MIRABEAU;1001302;10;;;;;Paris;16.0;48.8468116, 2.2716976;48.8468116;2.2716976
90;Métro;BIR-HAKEIM;3362908;6;;;;;Paris;15.0;48.8538898, 2.2893811;48.8538898;2.2893811
294;Métro;BOTZARIS;669323;7bis;;;;;Paris;19.0;48.879514, 2.3885871;48.879514;2.3885871
131;Métro;LEDRU-ROLLIN;2570283;8;;;;;Paris;12.0;48.8512945, 2.3760274;48.8512945;2.3760274
188;Métro;NOTRE-DAME-DE-LORETTE;1893828;12;;;;;Paris;9.0;48.8760191, 2.3385341;48.8760191;2.3385341
295;Métro;FALGUIERE;650291;12;;;;;Paris;15.0;48.8444916, 2.317965;48.8444916;2.317965
98;Métro;PORTE DES LILAS;3105016;3bis;11;;;;Paris;20.0;48.8769658, 2.4064184;48.8769658;2.4064184
301;Métro;BOLIVAR;367598;7bis;;;;;Paris;19.0;48.8809263, 2.3739077;48.8809263;2.3739077
137;Métro;ALEXANDRE DUMAS;2476608;2;;;;;Paris;11.0;48.8563002, 2.3944412;48.8563002;2.3944412
204;Métro;DUGOMMIER;1725412;6;;;;;Paris;12.0;48.8390379, 2.3897217;48.8390379;2.3897217
297;Métro;CHARDON-LAGACHE;482053;10;;;;;Paris;16.0;48.8454285, 2.2671305;48.8454285;2.2671305
111;Métro;PONT DE LEVALLOIS-BECON;2984777;3;;;;;Levallois-Perret;;48.8971540959649, 2.280413812210846;48.8971540959649;2.280413812210846
305;Métro;EGLISE D'AUTEUIL;124941;10;;;;;Paris;16.0;48.8473124, 2.2686366;48.8473124;2.2686366
141;Métro;SAINT-PLACIDE;2391205;4;;;;;Paris;6.0;48.847098, 2.3270206;48.847098;2.3270206
213;Métro;SAINT-MARCEL;1666744;5;;;;;Paris;13.0;48.8382857, 2.3608186;48.8382857;2.3608186
6;RER;VAL DE FONTENAY;10096433;A;;;;;Fontenay-sous-Bois;;48.85409607826304, 2.4886964657999355;48.85409607826304;2.4886964657999355
112;Métro;LE KREMLIN-BICETRE;2925325;7;;;;;Kremlin-Bicêtre;;48.81012995727394, 2.362263387127349;48.81012995727394;2.362263387127349
14;RER;NOISY-CHAMPS;4424587;A;;;;;Champs-sur-Marne;;48.84288484082361, 2.5800859119743564;48.84288484082361;2.5800859119743564
145;Métro;LOUISE MICHEL;2319185;3;;;;;Levallois-Perret;;48.88870601977514, 2.2880836330485037;48.88870601977514;2.2880836330485037
221;Métro;PORTE DE CHOISY;1592144;7;;;;;Paris;13.0;48.8201241, 2.3647858;48.8201241;2.3647858
9;RER;VINCENNES;5523693;A;;;;;Vincennes;;48.84734036417028, 2.432434660260661;48.84734036417028;2.432434660260661
117;Métro;JULES JOFFRIN;2854819;12;;;;;Paris;18.0;48.8925349, 2.3446536;48.8925349;2.3446536
16;RER;RUEIL-MALMAISON;4247217;A;;;;;Rueil-Malmaison;;48.88757361863876, 2.172579447718415;48.88757361863876;2.172579447718415
150;Métro;CENSIER-DAUBENTON;2291843;7;;;;;Paris;6.0;48.8406473, 2.3519334;48.8406473;2.3519334
223;Métro;RIQUET;1588438;7;;;;;Paris;19.0;48.8884812, 2.3742226;48.8884812;2.3742226
19;RER;VAL D'EUROPE;3576573;A;;;;;Serris;;48.854824962724784, 2.772428148255365;48.854824962724784;2.772428148255365
129;Métro;CHATEAU D'EAU;2687103;4;;;;;Paris;10.0;48.8728919, 2.3563063;48.8728919;2.3563063
27;RER;NANTERRE-VILLE;2993230;A;;;;;Nanterre;;48.89512589133458, 2.195363986912901;48.89512589133458;2.195363986912901
155;Métro;MALAKOFF-PLATEAU DE VANVES;2242320;13;;;;;Malakoff;;48.822583707737074, 2.298464191958535;48.822583707737074;2.298464191958535
228;Métro;RICHARD LENOIR;1544636;5;;;;;Paris;11.0;48.8602134, 2.3720741;48.8602134;2.3720741
21;RER;SAINT-GERMAIN-EN-LAYE;3337962;A;;;;;Saint-Germain-en-Laye;;48.89807641113002, 2.0948366282977533;48.89807641113002;2.0948366282977533
133;Métro;DENFERT-ROCHEREAU;2543959;4;6;;;;Paris;14.0;48.8342649, 2.3326427;48.8342649;2.3326427
36;RER;PORT ROYAL;2327686;B;;;;;Paris;5.0;48.8400137, 2.3370805;48.8400137;2.3370805
158;Métro;GUY MOQUET;2205313;13;;;;;Paris;17.0;48.8927389, 2.3273435;48.8927389;2.3273435
230;Métro;CARREFOUR PLEYEL;1535528;13;;;;;Saint Denis;;48.91900755521728, 2.3426080144231554;48.91900755521728;2.3426080144231554
28;RER;CHAMPIGNY;2833616;A;;;;;Saint-Maur des Fossés;;48.80698507164625, 2.510307237115641;48.80698507164625;2.510307237115641
134;Métro;CORENTIN CELTON;2504682;12;;;;;Issy Les Moulineaux;;48.82708544889644, 2.2794116820504207;48.82708544889644;2.2794116820504207
38;RER;BOISSY-SAINT-LEGER;2197101;A;;;;;Boissy-Saint-Léger;;48.75218572078873, 2.504559838342837;48.75218572078873;2.504559838342837
161;Métro;BOULOGNE-PONT DE SAINT-CLOUD;2182738;10;;;;;Boulogne Billancourt;;48.84074501612618, 2.2285369814916316;48.84074501612618;2.2285369814916316
231;Métro;PORTE DE CHARENTON;1529778;8;;;;;Paris;12.0;48.8322315, 2.3990408;48.8322315;2.3990408
32;RER;LAPLACE;2414948;B;;;;;Arcueil;;48.808296588631435, 2.334354309639648;48.808296588631435;2.334354309639648
140;Métro;ARTS ET METIERS;2403042;3;11;;;;Paris;3.0;48.8654718, 2.3561116;48.8654718;2.3561116
52;RER;LE VESINET-CENTRE;974465;A;;;;;Le Vésinet;;48.89008623555386, 2.134600875228717;48.89008623555386;2.134600875228717
172;Métro;ARGENTINE;2079212;1;;;;;Paris;17.0;48.8753357, 2.2901322;48.8753357;2.2901322
248;Métro;EDGAR QUINET;1349178;6;;;;;Paris;14.0;48.84111, 2.3250699;48.84111;2.3250699
37;RER;NOISIEL;2273213;A;;;;;Noisiel;;48.84350923944823, 2.616678624694602;48.84350923944823;2.616678624694602
143;Métro;LES GOBELINS;2365942;7;;;;;Paris;13.0;48.8356304, 2.3526735;48.8356304;2.3526735
53;RER;FONTENAY-AUX-ROSES;888408;B;;;;;Fontenay aux roses;;48.787566728367985, 2.292988009258979;48.787566728367985;2.292988009258979
173;Métro;SIMPLON;2056501;4;;;;;Paris;18.0;48.8938481, 2.3478412;48.8938481;2.3478412
249;Métro;AVRON;1345521;2;;;;;Paris;11.0;48.851501, 2.3982195;48.851501;2.3982195
41;RER;BRY-SUR-MARNE;1925748;A;;;;;Bry-sur-Marne;;48.84519309666404, 2.525615908439546;48.84519309666404;2.525615908439546
147;Métro;ANATOLE FRANCE;2311825;3;;;;;Levallois-Perret;;48.892082785966664, 2.2850095013824143;48.892082785966664;2.2850095013824143
56;RER;PALAISEAU-VILLEBON;591438;B;;;;;Palaiseau;;48.70814058364534, 2.237314364639455;48.70814058364534;2.237314364639455
185;Métro;SAINT-AUGUSTIN;1934106;9;;;;;Paris;8.0;48.874471, 2.3217921;48.874471;2.3217921
253;Métro;PORTE D'IVRY;1282199;7;;;;;Paris;13.0;48.8216035, 2.3693411;48.8216035;2.3693411
42;RER;ORSAY-VILLE;1776712;B;;;;;Orsay;;48.69750567080332, 2.1810544390412185;48.69750567080332;2.1810544390412185
149;Métro;TERNES;2292256;2;;;;;Paris;17.0;48.8783132, 2.2990737;48.8783132;2.2990737
63;RER;COURCELLE-SUR-YVETTE;394292;B;;;;;Gif sur Yvette;;48.70121772031537, 2.097975858420524;48.70121772031537;2.097975858420524
186;Métro;PORTE DOREE;1918182;8;;;;;Paris;12.0;48.8352765, 2.4061775;48.8352765;2.4061775
264;Métro;PONT NEUF;1188930;7;;;;;Paris;4.0;48.8565248, 2.3408169254872897;48.8565248;2.3408169254872897
48;RER;LA VARENNE-CHENNEVIERES;1552324;A;;;;;saint-Maur des Fossés;;48.795383835614835, 2.513423298184714;48.795383835614835;2.513423298184714
